Source_ID,Sample_ID,scope
clark2014,clark2014_31,artefact
clark2014,clark2014_31,sample
clark2014,clark2014_31,artefact
clark2014,clark2014_33,sample
clark2014,clark2014_33,artefact
clark2014,clark2014_33,sample
clark2014,clark2014_33,artefact
clark2014,clark2014_33,sample
clark2014,clark2014_33,artefact
clark2014,clark2014_34,sample
clark2014,clark2014_34,artefact
clark2014,clark2014_34,sample
clark2014,clark2014_34,artefact
clark2014,clark2014_34,sample
clark2014,clark2014_34,artefact
clark2014,clark2014_35,sample
clark2014,clark2014_35,artefact
clark2014,clark2014_35,sample
clark2014,clark2014_35,artefact
clark2014,clark2014_35,sample
clark2014,clark2014_35,artefact
clark2014,clark2014_36,sample
clark2014,clark2014_36,artefact
clark2014,clark2014_36,sample
clark2014,clark2014_36,artefact
clark2014,clark2014_36,sample
clark2014,clark2014_36,artefact
clark2014,clark2014_39,sample
clark2014,clark2014_39,artefact
clark2014,clark2014_39,sample
clark2014,clark2014_39,artefact
clark2014,clark2014_39,sample
clark2014,clark2014_39,artefact
clark2014,clark2014_41,sample
clark2014,clark2014_41,artefact
clark2014,clark2014_41,sample
clark2014,clark2014_41,artefact
clark2014,clark2014_41,sample
clark2014,clark2014_41,artefact
clark2014,clark2014_42,sample
clark2014,clark2014_42,artefact
clark2014,clark2014_42,sample
clark2014,clark2014_42,artefact
clark2014,clark2014_42,sample
clark2014,clark2014_42,artefact
clark2014,clark2014_43,sample
clark2014,clark2014_43,artefact
clark2014,clark2014_43,sample
clark2014,clark2014_43,artefact
clark2014,clark2014_43,sample
clark2014,clark2014_43,artefact
clark2014,clark2014_44,sample
clark2014,clark2014_44,artefact
clark2014,clark2014_44,sample
clark2014,clark2014_44,artefact
clark2014,clark2014_44,sample
clark2014,clark2014_44,artefact
clark2014,clark2014_46,sample
clark2014,clark2014_46,artefact
clark2014,clark2014_46,sample
clark2014,clark2014_46,artefact
clark2014,clark2014_46,sample
clark2014,clark2014_46,artefact
clark2014,clark2014_48,sample
clark2014,clark2014_48,artefact
clark2014,clark2014_48,sample
clark2014,clark2014_48,artefact
clark2014,clark2014_48,sample
clark2014,clark2014_48,artefact
clark2014,clark2014_49,sample
clark2014,clark2014_49,artefact
clark2014,clark2014_49,sample
clark2014,clark2014_49,artefact
clark2014,clark2014_49,sample
clark2014,clark2014_49,artefact
clark2014,clark2014_51,sample
clark2014,clark2014_51,artefact
clark2014,clark2014_51,sample
clark2014,clark2014_51,artefact
clark2014,clark2014_51,sample
clark2014,clark2014_51,artefact
clark2014,clark2014_53,sample
clark2014,clark2014_53,artefact
clark2014,clark2014_53,sample
clark2014,clark2014_53,artefact
clark2014,clark2014_53,sample
clark2014,clark2014_53,artefact
clark2014,clark2014_54,sample
clark2014,clark2014_54,artefact
clark2014,clark2014_54,sample
clark2014,clark2014_54,artefact
clark2014,clark2014_54,sample
clark2014,clark2014_54,artefact
clark2014,clark2014_55,sample
clark2014,clark2014_55,artefact
clark2014,clark2014_56,sample
clark2014,clark2014_56,artefact
clark2014,clark2014_58,sample
clark2014,clark2014_58,artefact
clark2014,clark2014_59,sample
clark2014,clark2014_59,artefact
clark2014,clark2014_60,sample
clark2014,clark2014_60,artefact
clark2014,clark2014_61,sample
clark2014,clark2014_61,artefact
clark2014,clark2014_62,sample
clark2014,clark2014_62,artefact
clark2014,clark2014_63,sample
clark2014,clark2014_63,artefact
clark2014,clark2014_64,sample
clark2014,clark2014_64,artefact
clark2014,clark2014_65,sample
clark2014,clark2014_65,artefact
clark2014,clark2014_66,sample
clark2014,clark2014_66,artefact
clark2014,clark2014_67,sample
clark2014,clark2014_67,artefact
clark2014,clark2014_68,sample
clark2014,clark2014_68,artefact
clark2014,clark2014_69,sample
clark2014,clark2014_69,artefact
clark2014,clark2014_70,sample
clark2014,clark2014_70,artefact
clark2014,clark2014_71,sample
clark2014,clark2014_71,artefact
clark2014,clark2014_72,sample
clark2014,clark2014_72,artefact
clark2014,clark2014_73,sample
clark2014,clark2014_73,artefact
clark2014,clark2014_74,sample
clark2014,clark2014_74,artefact
clark2014,clark2014_75,sample
clark2014,clark2014_75,artefact
clark2014,clark2014_76,sample
clark2014,clark2014_76,artefact
clark2014,clark2014_77,sample
clark2014,clark2014_77,artefact
clark2014,clark2014_79,sample
clark2014,clark2014_79,artefact
clark2014,clark2014_80,sample
clark2014,clark2014_80,artefact
clark2014,clark2014_81,sample
clark2014,clark2014_81,artefact
clark2014,clark2014_82,sample
clark2014,clark2014_82,artefact
clark2014,clark2014_83,sample
clark2014,clark2014_83,artefact
clark2014,clark2014_84,sample
clark2014,clark2014_84,artefact
clark2014,clark2014_85,sample
clark2014,clark2014_85,artefact
clark2014,clark2014_86,sample
clark2014,clark2014_86,artefact
clark2014,clark2014_87,sample
clark2014,clark2014_87,artefact
clark2014,clark2014_88,sample
clark2014,clark2014_88,artefact
clark2014,clark2014_89,sample
clark2014,clark2014_89,artefact
